trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
511,False,"{'a': 0.25, 'e': 0.00588280481683199}",20,2,25.808691698432177,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.25, 'e': 0.005823976768663671}",20,9,20.431908321834996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.25, 'e': 0.0057657370009770335}",30,16,24.749740291899325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.25, 'e': 0.005708079630967263}",20,5,22.5997188859085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.25, 'e': 0.00565099883465759}",20,10,19.11513972519284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.25, 'e': 0.005594488846311015}",30,8,38.701944301821364,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.25, 'e': 0.005538543957847904}",25,0,48.81954601720304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
518,False,"{'a': 0.25, 'e': 0.005483158518269426}",30,12,30.540056394842008,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.25, 'e': 0.005428326933086731}",30,24,12.478813302784523,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.25, 'e': 0.005374043663755864}",30,14,27.811794309736033,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.25, 'e': 0.005320303227118305}",30,19,19.378220386642802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.25, 'e': 0.005267100194847122}",20,13,12.456201905212989,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.25, 'e': 0.005214429192898651}",20,10,18.938071915792058,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.25, 'e': 0.005162284900969664}",20,6,25.898673475192357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.25, 'e': 0.005110662051959968}",20,0,32.15178008739305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.25, 'e': 0.005059555431440368}",20,6,25.51765901274499,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.25, 'e': 0.005008959877125964}",25,7,32.3992412899592,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.25, 'e': 0.0049588702783547045}",20,14,13.790090282875592,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.25, 'e': 0.004909281575571157}",20,13,13.707450325195445,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.25, 'e': 0.0048601887598154455}",35,5,53.140894109890844,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.25, 'e': 0.004811586872217291}",20,6,24.374877028395154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.25, 'e': 0.004763471003495118}",25,13,21.678635720395494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.25, 'e': 0.004715836293460167}",20,9,20.65550585041568,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.25, 'e': 0.004668677930525565}",25,15,20.565445759644597,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.25, 'e': 0.0046219911512203095}",30,17,24.909453758919128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.25, 'e': 0.004575771239708106}",35,17,36.9549315350311,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.25, 'e': 0.004530013527311025}",20,9,19.5126703693458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.25, 'e': 0.004484713392037915}",30,18,22.59983018150582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.25, 'e': 0.004439866258117536}",20,8,21.441661864529106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.25, 'e': 0.004395467595536361}",20,10,16.6157418817806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.25, 'e': 0.0043515129195809965}",20,8,21.682238593686414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.25, 'e': 0.004307997790385187}",20,10,19.7496182787772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.25, 'e': 0.004264917812481335}",25,8,32.40781447945527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.25, 'e': 0.004222268634356522}",20,14,10.872248427500239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.25, 'e': 0.004180045948012957}",20,7,25.898940048814747,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.25, 'e': 0.004138245488532827}",20,10,16.445722979947494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.25, 'e': 0.004096863033647498}",20,8,21.0841846906929,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.25, 'e': 0.0040558944033110235}",25,13,17.793004519637158,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.25, 'e': 0.004015335459277913}",25,11,21.50733923889618,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.25, 'e': 0.003975182104685134}",20,8,23.594756858126416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.25, 'e': 0.003935430283638282}",30,16,28.263471968084943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.25, 'e': 0.0038960759808018995}",25,9,-12.33234968746774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
553,False,"{'a': 0.25, 'e': 0.0038571152209938807}",30,19,21.596198081009298,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.25, 'e': 0.0038185440687839418}",20,6,26.86512443289483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.25, 'e': 0.003780358628096102}",20,9,21.055153768093355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.25, 'e': 0.0037425550418151415}",25,15,16.816387699837044,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.25, 'e': 0.0037051294913969897}",20,6,30.852648891685835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.25, 'e': 0.00366807819648302}",25,3,38.87613445763406,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.25, 'e': 0.0036313974145181895}",20,0,29.15168273716888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
560,False,"{'a': 0.25, 'e': 0.003595083440373008}",20,8,18.378106844663627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.25, 'e': 0.003559132605969278}",20,9,19.23560149564091,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.25, 'e': 0.003523541279909585}",20,8,25.624501470344278,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.25, 'e': 0.003488305867110489}",20,6,29.72773008385561,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.25, 'e': 0.003453422808439384}",25,10,26.74653644983087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.25, 'e': 0.0034188885803549903}",25,15,17.680829054929657,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.25, 'e': 0.0033846996945514404}",30,21,16.543023858324716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.25, 'e': 0.003350852697605926}",20,15,7.47135100237792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.25, 'e': 0.0033173441706298664}",20,10,18.067862756780208,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.25, 'e': 0.0032841707289235677}",25,19,14.721558011330098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.25, 'e': 0.003251329021634332}",20,8,22.650482897712543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.25, 'e': 0.0032188157314179885}",20,2,25.88734314444827,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.25, 'e': 0.003186627574103809}",20,6,25.376425155337216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.25, 'e': 0.0031547612983627705}",25,14,23.841364426491857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.25, 'e': 0.003123213685379143}",30,13,32.46874823852508,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.25, 'e': 0.0030919815485253516}",20,10,17.60568673743122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.25, 'e': 0.003061061733040098}",25,11,24.090167176048073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.25, 'e': 0.003030451115709697}",20,15,11.129356291253623,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.25, 'e': 0.0030001466045526}",20,16,6.3902797692918885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
